City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Katsuura,35.1333,140.3,67.21,91,100,19.51,JP,1665610698
Harper,4.375,-7.7169,77.22,82,98,7.16,LR,1665610530
Torbay,47.6666,-52.7314,50.76,76,75,5.75,CA,1665610426
Chokurdakh,70.6333,147.9167,1.04,90,56,5.01,RU,1665610574
Korla,41.7597,86.1469,47.48,50,0,3.29,CN,1665610699
Provideniya,64.3833,-173.3,28.51,74,0,4.47,RU,1665610699
Cape Town,-33.9258,18.4232,64.11,85,75,18.41,ZA,1665610630
Coquimbo,-29.9533,-71.3436,64.13,63,0,14.97,CL,1665610700
Esperance,-33.8667,121.9,53.96,67,98,16.69,AU,1665610700
Mahébourg,-20.4081,57.7,71.89,78,40,9.22,MU,1665610700
Hermanus,-34.4187,19.2345,64.8,91,100,5.28,ZA,1665610701
Gushikawa,26.3544,127.8686,76.23,81,0,6.91,JP,1665610701
Hong Kong,22.2855,114.1577,76.32,62,12,10.0,HK,1665610451
East London,-33.0153,27.9116,68.95,89,100,15.17,ZA,1665610701
Sinnamary,5.3833,-52.95,80.1,83,95,10.25,GF,1665610702
Avarua,-21.2078,-159.775,78.85,83,75,17.27,CK,1665610702
Buluang,13.3068,123.3425,78.62,89,100,0.74,PH,1665610702
Khatanga,71.9667,102.5,29.41,98,100,6.38,RU,1665610703
Bereda,43.2686,-7.5406,60.42,100,99,0.72,ES,1665610704
Zhangaözen,43.3,52.8,54.14,72,6,6.22,KZ,1665610704
Gulmarg,34.049,74.3921,40.64,69,8,1.72,IN,1665610704
Ushuaia,-54.8,-68.3,38.86,81,75,24.16,AR,1665610705
Vaini,-21.2,-175.2,77.16,83,40,4.61,TO,1665610705
Palkino,57.5409,28.0126,31.75,85,38,5.03,RU,1665610706
Ponta Delgada,37.7333,-25.6667,70.52,73,75,2.3,PT,1665610706
Lebu,-37.6167,-73.65,51.57,79,33,15.5,CL,1665610706
Mataura,-46.1927,168.8643,48.74,57,99,2.35,NZ,1665610707
